## [BeGaze]
## Converted from:	E:\henrik-iwk1\henrik-1-recording.idf
## Date:	13.12.2019 13:30:00
## Version:	BeGaze 3.6.52
## IDF Version:	10
## Sample Rate:	60
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	3381
## Reversed:	none
## [Run]
## Subject:	henrik
## Description:	Run1
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT
##
Time;Type;Trial;L Pupil Diameter [mm];R Pupil Diameter [mm]
188886778;SMP;1;4.38;4.22
188903388;SMP;1;4.34;4.22
188919955;SMP;1;4.34;4.24
188936502;SMP;1;4.34;4.30
188953010;SMP;1;4.34;4.28
188969814;SMP;1;4.36;4.32
188986400;SMP;1;4.36;4.32
189003244;SMP;1;4.36;4.26
189019389;SMP;1;4.38;4.26
189036295;SMP;1;4.40;4.28
189052914;SMP;1;4.36;4.26
189069506;SMP;1;4.40;4.26
189085790;SMP;1;4.50;4.34
189102837;SMP;1;3.16;3.42
189119026;SMP;1;0.00;2.96
189136254;SMP;1;0.00;0.00
189152287;SMP;1;0.00;0.00
189168942;SMP;1;0.00;0.00
189185376;SMP;1;0.00;0.00
189201998;SMP;1;2.96;3.70
189218735;SMP;1;4.34;4.40
189235161;SMP;1;4.62;4.30
189251830;SMP;1;4.42;4.30
189268565;SMP;1;4.40;4.24
189285170;SMP;1;4.46;4.22
189301818;SMP;1;4.42;4.36
189318555;SMP;1;4.44;4.40
189335361;SMP;1;4.44;4.40
189351347;SMP;1;4.42;4.40
189368232;SMP;1;4.42;4.40
189384561;SMP;1;4.42;4.40
189401260;SMP;1;4.40;4.28
189418401;SMP;1;4.42;4.36
189434505;SMP;1;4.42;4.32
189451018;SMP;1;4.40;4.30
189467624;SMP;1;4.42;4.34
189484845;SMP;1;4.42;4.34
189517588;SMP;1;4.42;4.30
189533918;SMP;1;4.44;4.40
189550645;SMP;1;4.44;4.38
189567299;SMP;1;4.42;4.38
189583765;SMP;1;4.42;4.38
189600267;SMP;1;4.42;4.40
189617011;SMP;1;4.42;4.38
189634046;SMP;1;4.42;4.40
189650210;SMP;1;4.40;4.40
189666619;SMP;1;4.42;4.38
189683389;SMP;1;4.42;4.34
189699990;SMP;1;4.42;4.38
189716608;SMP;1;4.42;4.38
189733000;SMP;1;4.44;4.32
189749983;SMP;1;4.42;4.32
189766384;SMP;1;4.40;4.32
189783167;SMP;1;4.42;4.32
189799374;SMP;1;4.44;4.28
189816094;SMP;1;4.42;4.30
189832880;SMP;1;4.44;4.30
189849381;SMP;1;4.48;4.28
189866334;SMP;1;4.46;4.24
189882479;SMP;1;4.42;4.24
189899589;SMP;1;4.44;4.24
189915614;SMP;1;4.42;4.34
189932332;SMP;1;4.42;4.24
189948879;SMP;1;4.40;4.24
189966005;SMP;1;4.44;4.28
189982119;SMP;1;4.40;4.26
189998822;SMP;1;4.42;4.24
190015306;SMP;1;4.42;4.24
190032027;SMP;1;4.44;4.26
190048881;SMP;1;4.42;4.28
190065028;SMP;1;4.40;4.24
190081635;SMP;1;4.42;4.24
190098711;SMP;1;4.40;4.26
190115076;SMP;1;4.44;4.24
190131893;SMP;1;4.40;4.26
190148229;SMP;1;4.40;4.22
190164619;SMP;1;4.40;4.24
190181489;SMP;1;4.40;4.24
190198019;SMP;1;4.40;4.22
190214813;SMP;1;4.40;4.26
190231014;SMP;1;4.40;4.28
190247638;SMP;1;4.40;4.24
190264232;SMP;1;4.40;4.26
190280938;SMP;1;4.42;4.24
190297527;SMP;1;4.40;4.24
190314220;SMP;1;4.40;4.28
190330564;SMP;1;4.40;4.42
190347436;SMP;1;4.42;4.38
190363758;SMP;1;4.40;4.30
190380579;SMP;1;4.40;4.42
190396911;SMP;1;4.40;4.36
190413474;SMP;1;4.40;4.38
190430133;SMP;1;4.42;4.36
190447273;SMP;1;4.42;4.38
190480012;SMP;1;4.40;4.38
190496426;SMP;1;4.40;4.40
190512998;SMP;1;4.42;4.40
190529673;SMP;1;4.46;4.34
190546367;SMP;1;4.42;4.40
190563280;SMP;1;4.46;4.38
190579393;SMP;1;4.42;4.42
190596160;SMP;1;4.48;4.34
190612761;SMP;1;4.50;4.10
190629286;SMP;1;4.56;4.22
190645896;SMP;1;4.46;4.20
190662383;SMP;1;4.48;4.18
190679613;SMP;1;4.60;4.22
190696027;SMP;1;4.56;4.24
190712345;SMP;1;4.46;4.26
190729028;SMP;1;4.54;4.24
190745951;SMP;1;4.54;4.24
190761976;SMP;1;4.52;4.26
190778644;SMP;1;4.56;4.24
190795278;SMP;1;4.60;4.22
190812020;SMP;1;4.58;4.24
190828877;SMP;1;4.58;4.24
190845029;SMP;1;4.52;4.24
190861919;SMP;1;4.54;4.34
190878722;SMP;1;4.58;4.32
190894866;SMP;1;4.58;4.34
190911281;SMP;1;4.58;4.34
190928256;SMP;1;4.60;4.36
190944617;SMP;1;4.58;4.34
190961232;SMP;1;4.58;4.30
190978246;SMP;1;4.58;4.42
190994257;SMP;1;4.54;4.42
191011126;SMP;1;4.54;4.48
191027701;SMP;1;4.52;4.46
191044094;SMP;1;4.52;4.44
191060685;SMP;1;4.48;4.50
191077531;SMP;1;4.48;4.44
191093868;SMP;1;4.48;4.46
191110618;SMP;1;4.48;4.44
191127239;SMP;1;4.50;4.46
191143957;SMP;1;4.46;4.42
191160414;SMP;1;4.52;4.42
191177405;SMP;1;4.46;4.40
191193597;SMP;1;4.48;4.36
191210467;SMP;1;4.44;4.34
191226745;SMP;1;4.52;4.26
191243373;SMP;1;4.46;4.28
191260071;SMP;1;4.50;4.36
191276558;SMP;1;4.48;4.30
191293800;SMP;1;4.50;4.32
191309757;SMP;1;4.54;4.38
191326395;SMP;1;4.48;4.34
191342759;SMP;1;4.52;4.30
191359365;SMP;1;4.52;4.30
191376412;SMP;1;4.44;4.32
191392609;SMP;1;4.50;4.32
191409220;SMP;1;4.48;4.42
191425906;SMP;1;4.48;4.42
191442549;SMP;1;4.46;4.42
191458991;SMP;1;4.50;4.42
191475518;SMP;1;4.48;4.42
191492114;SMP;1;4.48;4.42
191508759;SMP;1;4.50;4.42
191525351;SMP;1;4.48;4.42
191542032;SMP;1;4.50;4.44
191558635;SMP;1;4.48;4.44
191575364;SMP;1;4.50;4.44
191591753;SMP;1;4.48;4.40
191608689;SMP;1;4.52;4.42
191624920;SMP;1;4.48;4.40
191641800;SMP;1;4.46;4.42
191658390;SMP;1;4.52;4.40
191675114;SMP;1;4.50;4.42
191691403;SMP;1;4.52;4.40
191708150;SMP;1;4.52;4.42
191724777;SMP;1;4.50;4.40
191741376;SMP;1;4.48;4.42
191758057;SMP;1;4.52;4.44
191774859;SMP;1;4.48;4.40
191791183;SMP;1;4.52;4.42
191807614;SMP;1;4.52;4.40
191824295;SMP;1;4.52;4.40
191841033;SMP;1;4.48;4.44
191857389;SMP;1;4.48;4.42
191873995;SMP;1;4.54;4.42
191890533;SMP;1;4.50;4.46
191907411;SMP;1;4.52;4.42
191923911;SMP;1;4.54;4.40
191940364;SMP;1;4.56;4.42
191957131;SMP;1;4.54;4.40
191973378;SMP;1;4.54;4.44
191990164;SMP;1;4.56;4.48
192006899;SMP;1;4.52;4.44
192023632;SMP;1;4.50;4.46
192040377;SMP;1;4.58;4.46
192056541;SMP;1;4.58;4.44
192073378;SMP;1;4.58;4.38
192089743;SMP;1;4.56;4.46
192106294;SMP;1;4.54;4.50
192123125;SMP;1;4.56;4.52
192139782;SMP;1;4.58;4.46
192156591;SMP;1;4.58;4.48
192172834;SMP;1;4.56;4.46
192189408;SMP;1;4.56;4.48
192206025;SMP;1;4.58;4.48
192222456;SMP;1;4.58;4.50
192239344;SMP;1;4.58;4.48
192255676;SMP;1;4.60;4.44
192272324;SMP;1;4.60;4.46
192289233;SMP;1;4.58;4.56
192305572;SMP;1;4.56;4.50
192322073;SMP;1;4.58;4.42
192339093;SMP;1;4.62;4.42
192355614;SMP;1;4.58;4.42
192371888;SMP;1;4.60;4.44
192388446;SMP;1;4.62;4.46
192405151;SMP;1;4.62;4.48
192422026;SMP;1;4.60;4.46
192438629;SMP;1;4.62;4.48
192454933;SMP;1;4.64;4.48
192471874;SMP;1;4.54;4.52
192488014;SMP;1;4.64;4.48
192504626;SMP;1;4.64;4.50
192521807;SMP;1;4.64;4.52
192537932;SMP;1;4.64;4.54
192554398;SMP;1;4.64;4.42
192571016;SMP;1;4.62;4.50
192587678;SMP;1;4.62;4.50
192604544;SMP;1;4.64;4.48
192620652;SMP;1;4.60;4.48
192637835;SMP;1;4.64;4.44
192654038;SMP;1;4.62;4.46
192670760;SMP;1;4.64;4.44
192687698;SMP;1;4.60;4.46
192704217;SMP;1;4.62;4.42
192720287;SMP;1;4.60;4.46
192737080;SMP;1;4.64;4.42
192753678;SMP;1;4.58;4.42
192770153;SMP;1;4.62;4.46
192786893;SMP;1;4.64;4.44
192803497;SMP;1;4.62;4.50
192819770;SMP;1;4.66;4.52
192837226;SMP;1;4.66;4.48
192853020;SMP;1;4.66;4.58
192870150;SMP;1;4.62;4.62
192886569;SMP;1;4.60;4.56
192902956;SMP;1;4.64;4.58
192919549;SMP;1;4.64;4.50
192936463;SMP;1;4.64;4.44
192952980;SMP;1;4.62;4.50
192969415;SMP;1;4.64;4.48
192985738;SMP;1;4.66;4.48
193002380;SMP;1;4.64;4.56
193018986;SMP;1;4.66;4.50
193035650;SMP;1;4.64;4.44
193052326;SMP;1;4.66;4.52
193069011;SMP;1;4.64;4.50
193085416;SMP;1;4.62;4.52
193102013;SMP;1;4.62;4.48
193119082;SMP;1;4.66;4.48
193135250;SMP;1;4.64;4.52
193152002;SMP;1;4.64;4.50
193168380;SMP;1;4.60;4.52
193185119;SMP;1;4.60;4.50
193201485;SMP;1;4.60;4.48
193218029;SMP;1;4.62;4.52
193234773;SMP;1;4.60;4.48
193251426;SMP;1;4.62;4.52
193284607;SMP;1;4.64;4.54
193301001;SMP;1;4.64;4.56
193317903;SMP;1;4.64;4.56
193351299;SMP;1;4.58;4.54
193367539;SMP;1;4.56;4.54
193384172;SMP;1;4.60;4.56
193400744;SMP;1;4.60;4.54
193417507;SMP;1;4.62;4.56
193434103;SMP;1;4.58;4.54
193467210;SMP;1;4.64;4.56
193484115;SMP;1;4.58;4.56
193500754;SMP;1;4.58;4.54
193517181;SMP;1;4.60;4.56
193533765;SMP;1;4.60;4.56
193550324;SMP;1;4.58;4.56
193566666;SMP;1;4.62;4.56
193583271;SMP;1;4.60;4.52
193600156;SMP;1;4.64;4.54
193616594;SMP;1;4.62;4.54
193633375;SMP;1;4.58;4.58
193649899;SMP;1;4.60;4.60
193666396;SMP;1;4.58;4.56
193683180;SMP;1;4.62;4.54
193699960;SMP;1;4.62;4.58
193716199;SMP;1;4.58;4.54
193732745;SMP;1;4.62;4.58
193749504;SMP;1;4.58;4.56
193765981;SMP;1;4.60;4.56
193782326;SMP;1;4.64;4.50
193799498;SMP;1;4.62;4.60
193815607;SMP;1;4.58;4.46
193832169;SMP;1;4.74;4.36
193849349;SMP;1;4.80;4.36
193865408;SMP;1;4.82;4.36
193882125;SMP;1;4.82;4.38
193898776;SMP;1;4.84;4.38
193915143;SMP;1;4.82;4.42
193931641;SMP;1;4.80;4.36
193948234;SMP;1;4.80;4.42
193964854;SMP;1;4.86;4.42
193981476;SMP;1;4.84;4.42
193998009;SMP;1;4.84;4.42
194014623;SMP;1;4.86;4.42
194031244;SMP;1;4.86;4.42
194047847;SMP;1;4.84;4.46
194064410;SMP;1;4.86;4.40
194081457;SMP;1;4.84;4.42
194097915;SMP;1;4.84;4.42
194115088;SMP;1;4.86;4.42
194131153;SMP;1;4.86;4.44
194147673;SMP;1;4.86;4.44
